DateTime,AddedIPs,RemovedIPs
1487635288,1,0
1487638888,0,2
1487642487,1,0
1487646088,0,2
1487649688,1,0
1487656888,2,0
1487660487,0,2
1487664087,2,0
1487671287,1,1
1487674886,1,1
1487682087,1,0
1487685688,0,2
1487689287,1,2
1487692889,1,1
1487696487,2,2
1487703686,1,1
1487707287,0,1
1487710887,0,1
1487714487,2,0
1487718087,0,1
1487721688,1,0
1487725287,1,0
1487728886,1,2
1487732487,2,0
1487736089,1,1
1487743288,1,1
1487746888,0,1
1487750488,0,1
1487754089,0,1
1487757687,2,1
1487761288,2,0
1487764887,1,1
1487768487,0,1
1487772089,4,1
1487775688,1,2
1487779288,1,0
1487782887,1,0
1487786490,1,3
1487790088,1,3
1487793687,1,0
1487797286,1,0
1487800888,1,1
1487804486,1,1
1487808087,0,2
1487811682,2,0
1487815280,1,3
1487818882,2,1
1487822481,2,0
1487826081,0,1
1487833281,0,2
1487836880,0,2
1487840481,1,0
1487844081,1,1
1487847682,1,0
1487854881,1,1
1487858481,2,1
1487862081,0,1
1487865681,0,1
1487869280,0,1
1487872881,0,1
1487876480,2,0
1487880081,1,0
1487883682,1,0
1487890881,1,1
1487894480,1,1
1487898080,1,1
1487901680,1,0
1487905280,2,0
1487908882,1,2
1487912481,1,1
1487916080,1,2
1487923281,0,1
1487926881,0,1
1487930481,1,3
1487937680,2,0
1487944881,0,1
1487948481,0,1
1487952590,2,1
1487955681,1,0
1487962882,0,1
1487966481,1,1
1487970081,1,1
1487973682,1,0
1487977281,0,1
1487980882,1,1
1487984488,2,1
1487988088,2,0
1487991689,1,1
1487995285,0,1
1487998886,0,2
1488002487,2,2
1488006088,2,1
1488013286,0,1
1488020487,2,0
1488034886,0,1
1488038487,0,1
1488042087,0,1
1488049286,1,0
1488052887,1,1
1488056487,1,1
1488060087,1,0
1488063688,1,0
1488067287,1,1
1488070892,0,1
1488074492,1,0
1488078094,0,1
1488081692,1,2
1488085293,0,1
1488088895,2,1
1488096093,1,1
1488099694,1,1
1488103293,2,0
1488106893,1,0
1488110493,1,0
1488114093,1,1
1488117694,0,1
1488121293,1,0
1488124892,1,0
1488128493,0,2
1488132094,0,2
1488135690,1,1
1488139294,0,2
1488142893,1,0
1488146490,0,1
1488150095,1,0
1488160893,1,1
1488164493,1,1
1488168094,0,1
1488175293,4,1
1488178893,0,1
1488186093,2,1
1488189693,2,0
1488193293,1,0
1488196893,2,1
1488200493,0,2
1488204093,2,1
1488211291,1,2
1488214892,2,2
1488218493,2,2
1488222093,2,0
1488225693,0,2
1488229293,0,2
1488236494,0,1
1488240094,3,1
1488247293,1,2
1488250891,3,0
1488254491,0,2
1488258092,1,1
1488261691,2,0
1488265294,0,4
1488272493,2,0
1488279694,1,1
1488283292,0,1
1488286893,1,1
1488290493,2,0
1488294094,0,2
1488297693,1,0
1488301293,0,1
1488304893,1,2
1488308493,3,0
1488312092,2,2
1488315692,1,1
1488319293,1,2
1488322894,0,2
1488326491,1,1
1488330092,1,1
1488333692,1,2
1488337294,1,0
1488348091,1,1
1488351693,0,2
1488355292,3,1
1488358893,2,1
1488362494,1,0
1488369694,0,2
1488373293,1,2
1488376895,0,1
1488380493,1,0
1488384093,1,0
1488387693,1,1
1488391293,2,1
1488394893,1,1
1488398493,0,1
1488402094,0,1
1488405693,2,1
1488409293,0,2
1488412893,0,1
1488420087,1,0
1488423687,1,0
1488427287,0,1
1488430888,1,1
1488434487,3,0
1488438088,1,1
1488445286,1,1
1488448889,1,2
1488452488,1,0
1488456087,0,1
1488459690,2,0
1488463286,1,0
1488466887,0,3
1488474087,2,2
1488477688,1,3
1488488487,0,2
1488492088,3,0
1488499289,1,1
1488502882,1,0
1488506481,1,2
1488510081,1,0
1488513681,2,1
1488517280,1,1
1488520881,0,1
1488524480,1,0
1488528080,0,1
1488535281,2,2
1488538881,0,1
1488542481,0,1
1488549680,1,1
1488553281,2,0
1488556881,1,0
1488560482,1,1
1488564082,1,2
1488571280,2,1
1488574881,0,1
1488578481,0,1
1488582082,2,1
1488585682,2,2
1488592888,1,0
1488596487,0,2
1488600088,0,1
1488603688,1,0
1488607288,2,2
1488610887,1,0
1488618088,1,0
1488621687,0,2
1488625288,0,1
1488628887,0,1
1488632486,1,0
1488636088,1,1
1488639687,1,0
1488646887,2,1
1488650488,1,1
1488654086,1,0
1488661285,0,3
1488664888,2,1
1488675686,2,0
1488682888,0,1
1488686488,1,0
1488690089,2,1
1488693688,0,2
1488697287,0,1
1488700887,0,1
1488704488,0,1
1488708088,5,0
1488715288,1,0
1488722486,0,2
1488726088,0,1
1488729687,1,1
1488736887,1,3
1488744087,2,1
1488747687,2,0
1488751287,0,1
1488754887,0,1
1488758489,1,0
1488762087,1,1
1488772887,1,1
1488776615,0,2
1488780107,1,0
1488783709,0,1
1488787320,1,0
1488790891,2,0
1488794487,1,1
1488798093,0,1
1488801940,1,0
1488805421,1,1
1488808890,0,2
1488812746,2,1
1488816215,1,0
1488819693,1,1
1488823479,2,0
1488826894,0,2
1488830509,2,0
1488834088,0,2
